t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
3.020027,0.000013,0.0012,0.2880,0,,,,,
4.019723,0.000013,0.0012,0.2883,0,,,,,
5.020591,0.000013,0.0012,0.2900,0,,,,,
6.020299,0.000013,0.0012,0.2924,0,,,,,
7.020035,0.000014,0.0012,0.2949,0,,,,,
8.019744,0.000014,0.0013,0.2973,0,,,,,
9.020634,0.000014,0.0013,0.3097,0,,,,,
10.020353,0.000014,0.0013,0.3021,0,,,,,
11.020093,0.000014,0.0013,0.3098,0,,,,,
12.019819,0.000014,0.0013,0.3132,0,,,,,
13.019568,0.000014,0.0012,0.2951,0,,,,,
14.020440,0.000013,0.0012,0.2926,0,,,,,
15.020177,0.000013,0.0012,0.2887,0,,,,,
16.019907,0.000014,0.0013,0.3018,0,,,,,
17.019636,0.000013,0.0012,0.2884,0,,,,,
18.020515,0.000014,0.0012,0.2941,0,,,,,
19.020245,0.000014,0.0013,0.2992,0,,,,,
20.019939,0.000014,0.0013,0.2980,0,,,,,
21.019678,0.000013,0.0012,0.2902,0,,,,,
22.020559,0.000013,0.0012,0.2816,0,,,,,
23.020279,0.000014,0.0013,0.2970,0,,,,,
24.019981,0.000013,0.0012,0.2864,0,,,,,
25.019709,0.000014,0.0013,0.2980,0,,,,,
26.020582,0.000014,0.0013,0.2996,0,,,,,
27.020308,0.000013,0.0012,0.2778,0,,,,,
28.020025,0.000013,0.0012,0.2911,0,,,,,
29.019753,0.000013,0.0012,0.2921,0,,,,,
30.020647,0.000014,0.0013,0.2971,0,,,,,
31.020395,0.000014,0.0012,0.2940,0,,,,,
32.020123,0.000014,0.0013,0.3028,0,,,,,
33.019863,0.000013,0.0012,0.2857,0,,,,,
34.019585,0.000013,0.0012,0.2915,0,,,,,
35.020466,0.000013,0.0012,0.2916,0,,,,,
36.020168,0.000013,0.0012,0.2836,0,,,,,
37.019909,0.000014,0.0013,0.3017,0,,,,,
38.019634,0.000014,0.0012,0.2957,0,,,,,
39.020550,0.000014,0.0013,0.3003,0,,,,,
40.020275,0.000013,0.0012,0.2873,0,,,,,
41.020004,0.000013,0.0012,0.2853,0,,,,,
42.019699,0.000014,0.0013,0.2966,0,,,,,
43.020592,0.000014,0.0012,0.2941,0,,,,,
44.020287,0.000014,0.0013,0.2971,0,,,,,
45.020012,0.000013,0.0012,0.2875,0,,,,,
46.019726,0.000013,0.0012,0.2908,0,,,,,
47.020622,0.000014,0.0013,0.3081,0,,,,,
48.020317,0.000014,0.0013,0.3007,0,,,,,
49.020046,0.000014,0.0013,0.2985,0,,,,,
50.019753,0.000013,0.0012,0.2882,0,,,,,
51.020657,0.000014,0.0013,0.3022,0,,,,,
52.020359,0.000014,0.0013,0.3078,0,,,,,
53.020092,0.000014,0.0013,0.2967,0,,,,,
54.019810,0.000014,0.0013,0.3061,0,,,,,
55.019535,0.000014,0.0013,0.2979,0,,,,,
56.020416,0.000014,0.0013,0.3016,0,,,,,
57.020153,0.000014,0.0013,0.2975,0,,,,,
58.019882,0.000014,0.0013,0.3047,0,,,,,
