t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
119.020447,0.000014,0.0012,0.2950,0,,,,,
120.019493,0.000013,0.0012,0.2871,0,,,,,
121.019714,0.000014,0.0013,0.3025,0,,,,,
122.019936,0.000014,0.0013,0.2964,0,,,,,
123.020149,0.000014,0.0013,0.3019,0,,,,,
124.020370,0.000014,0.0013,0.3005,0,,,,,
125.020584,0.000014,0.0013,0.3022,0,,,,,
126.019638,0.000014,0.0013,0.3091,0,,,,,
127.019859,0.000014,0.0013,0.3081,0,,,,,
128.020081,0.000014,0.0013,0.3065,0,,,,,
129.020294,0.000014,0.0013,0.3035,0,,,,,
130.020508,0.000014,0.0013,0.2966,0,,,,,
131.019562,0.000014,0.0013,0.3078,0,,,,,
132.019791,0.000013,0.0012,0.2889,0,,,,,
133.020004,0.000013,0.0012,0.2884,0,,,,,
134.020218,0.000014,0.0012,0.2938,0,,,,,
135.020432,0.000014,0.0013,0.2983,0,,,,,
136.020660,0.000014,0.0013,0.3011,0,,,,,
137.019714,0.000014,0.0013,0.3040,0,,,,,
138.019913,0.000014,0.0013,0.3068,0,,,,,
139.020142,0.000014,0.0013,0.3027,0,,,,,
140.020355,0.000013,0.0012,0.2862,0,,,,,
141.020569,0.000014,0.0013,0.3039,0,,,,,
142.019638,0.000014,0.0013,0.3010,0,,,,,
143.019836,0.000014,0.0013,0.2981,0,,,,,
144.020065,0.000014,0.0013,0.3101,0,,,,,
145.020294,0.000014,0.0013,0.3074,0,,,,,
146.020493,0.000014,0.0013,0.3063,0,,,,,
147.019547,0.000014,0.0013,0.3049,0,,,,,
148.019775,0.000014,0.0012,0.2949,0,,,,,
149.019989,0.000014,0.0013,0.3005,0,,,,,
150.020203,0.000014,0.0013,0.3074,0,,,,,
151.020416,0.000014,0.0012,0.2942,0,,,,,
152.020645,0.000014,0.0013,0.3054,0,,,,,
153.019699,0.000014,0.0012,0.2934,0,,,,,
154.019913,0.000013,0.0012,0.2875,0,,,,,
155.020126,0.000014,0.0013,0.3029,0,,,,,
156.020355,0.000013,0.0012,0.2882,0,,,,,
157.020554,0.000014,0.0013,0.3076,0,,,,,
158.019623,0.000014,0.0013,0.2985,0,,,,,
159.019836,0.000014,0.0013,0.3000,0,,,,,
160.020050,0.000014,0.0013,0.3017,0,,,,,
161.020279,0.000014,0.0013,0.3056,0,,,,,
162.020477,0.000014,0.0013,0.2970,0,,,,,
