t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
120.020538,0.036419,3.3413,791.0515,0,,,,,
121.019592,0.036673,3.3646,796.5603,0,,,,,
122.019806,0.036935,3.3886,802.2474,0,,,,,
123.020027,0.036108,3.3128,784.2964,0,,,,,
124.020241,0.037543,3.4444,815.4612,0,,,,,
125.020454,0.035464,3.2536,770.2957,0,,,,,
126.019524,0.038088,3.4944,827.3028,0,,,,,
127.019730,0.034978,3.2091,759.7432,0,,,,,
128.019958,0.038225,3.5069,830.2675,0,,,,,
129.020172,0.035099,3.2202,762.3807,0,,,,,
130.020386,0.037848,3.4724,822.0883,0,,,,,
131.019440,0.035837,3.2878,778.3958,0,,,,,
132.019653,0.036994,3.3940,803.5303,0,,,,,
133.019867,0.036735,3.3703,797.9097,0,,,,,
134.020081,0.035941,3.2974,780.6674,0,,,,,
135.020309,0.037597,3.4494,816.6388,0,,,,,
136.020523,0.035136,3.2235,763.1747,0,,,,,
137.019577,0.038132,3.4984,828.2540,0,,,,,
138.019791,0.034888,3.2008,757.7962,0,,,,,
139.020020,0.038108,3.4962,827.7328,0,,,,,
140.020218,0.035211,3.2304,764.8082,0,,,,,
141.020447,0.037602,3.4498,816.7391,0,,,,,
142.019501,0.035930,3.2965,780.4354,0,,,,,
143.019730,0.036845,3.3803,800.2966,0,,,,,
144.019943,0.036683,3.3655,796.7726,0,,,,,
145.020157,0.036097,3.3117,784.0472,0,,,,,
146.020370,0.037266,3.4190,809.4460,0,,,,,
147.019424,0.035459,3.2532,770.2058,0,,,,,
148.019653,0.037841,3.4718,821.9421,0,,,,,
149.019867,0.035083,3.2188,762.0392,0,,,,,
150.020081,0.038174,3.5023,829.1654,0,,,,,
151.020294,0.034921,3.2038,758.4994,0,,,,,
152.020508,0.038121,3.4974,828.0190,0,,,,,
153.019562,0.035360,3.2442,768.0551,0,,,,,
154.019791,0.037386,3.4300,812.0599,0,,,,,
155.020004,0.036473,3.3462,792.2158,0,,,,,
156.020218,0.036083,3.3104,783.7414,0,,,,,
157.020432,0.037689,3.4578,818.6232,0,,,,,
158.019485,0.034836,3.1961,756.6663,0,,,,,
159.019714,0.031482,2.8883,683.8086,0,,,,,
160.019913,0.000038,0.0035,0.8176,0,,,,,
161.020142,0.000039,0.0036,0.8493,0,,,,,
162.020370,0.000039,0.0035,0.8399,0,,,,,
163.019409,0.000036,0.0033,0.7914,0,,,,,
164.019638,0.000040,0.0037,0.8662,0,,,,,
165.019852,0.000036,0.0033,0.7762,0,,,,,
166.020065,0.000040,0.0037,0.8666,0,,,,,
167.020294,0.000037,0.0034,0.8062,0,,,,,
168.020493,0.000037,0.0034,0.8046,0,,,,,
169.019547,0.000040,0.0037,0.8728,0,,,,,
170.019775,0.000036,0.0033,0.7892,0,,,,,
171.020004,0.000040,0.0036,0.8581,1,158.019485,797.3823,-1,-1,2
172.020203,0.000038,0.0035,0.8297,0,,,,,
173.020432,0.000037,0.0034,0.8020,0,,,,,
174.019485,0.000040,0.0037,0.8731,0,,,,,
175.019699,0.000037,0.0034,0.7948,0,,,,,
176.019913,0.000039,0.0036,0.8509,0,,,,,
177.020126,0.000039,0.0036,0.8447,0,,,,,
178.020355,0.000037,0.0034,0.7998,0,,,,,
179.019409,0.000041,0.0037,0.8865,0,,,,,
180.019623,0.000037,0.0034,0.8008,0,,,,,
181.019836,0.000039,0.0036,0.8438,0,,,,,
182.020065,0.000039,0.0036,0.8580,0,,,,,
183.020279,0.000036,0.0033,0.7922,0,,,,,
184.020493,0.000040,0.0037,0.8704,0,,,,,
185.019547,0.000038,0.0035,0.8186,0,,,,,
186.019760,0.000039,0.0035,0.8388,0,,,,,
187.019989,0.000039,0.0036,0.8498,0,,,,,
188.020187,0.000037,0.0034,0.8099,0,,,,,
189.020416,0.000040,0.0037,0.8692,0,,,,,
190.019470,0.000037,0.0034,0.8026,0,,,,,
191.019684,0.000040,0.0036,0.8632,0,,,,,
192.019897,0.000036,0.0033,0.7880,0,,,,,
193.020126,0.000040,0.0037,0.8702,0,,,,,
194.020340,0.000037,0.0034,0.7959,0,,,,,
195.019394,0.000041,0.0037,0.8808,0,,,,,
196.019623,0.000037,0.0034,0.7939,0,,,,,
197.019821,0.000041,0.0037,0.8833,0,,,,,
198.020050,0.000037,0.0034,0.8013,0,,,,,
199.020279,0.000041,0.0038,0.8879,0,,,,,
200.020477,0.000037,0.0034,0.8097,0,,,,,
201.019531,0.000041,0.0038,0.8886,0,,,,,
202.019760,0.000037,0.0034,0.8124,0,,,,,
203.019974,0.000041,0.0037,0.8807,0,,,,,
204.020187,0.000037,0.0034,0.7996,0,,,,,
205.020401,0.000040,0.0037,0.8670,0,,,,,
206.019455,0.000038,0.0034,0.8166,0,,,,,
207.019684,0.000041,0.0037,0.8826,0,,,,,
208.019882,0.000037,0.0034,0.8113,0,,,,,
209.020111,0.000040,0.0037,0.8785,0,,,,,
210.020340,0.000038,0.0035,0.8203,0,,,,,
211.019394,0.000039,0.0036,0.8576,0,,,,,
212.019608,0.000039,0.0035,0.8390,0,,,,,
213.019821,0.000039,0.0036,0.8494,0,,,,,
214.020035,0.000039,0.0036,0.8478,0,,,,,
215.020248,0.000038,0.0035,0.8319,0,,,,,
216.020477,0.000039,0.0036,0.8442,0,,,,,
217.019516,0.000039,0.0036,0.8453,0,,,,,
218.019745,0.000040,0.0036,0.8623,0,,,,,
219.019974,0.000038,0.0035,0.8266,0,,,,,
220.020172,0.000040,0.0037,0.8661,0,,,,,
221.020401,0.000037,0.0034,0.8077,0,,,,,
222.019455,0.000041,0.0037,0.8816,0,,,,,
223.019669,0.000038,0.0035,0.8270,0,,,,,
224.019882,0.000040,0.0037,0.8762,0,,,,,
225.020096,0.000038,0.0034,0.8152,0,,,,,
226.020325,0.000040,0.0037,0.8661,0,,,,,
227.020538,0.000039,0.0036,0.8489,0,,,,,
228.019577,0.000038,0.0035,0.8266,0,,,,,
229.019806,0.000039,0.0036,0.8569,0,,,,,
230.020035,0.000038,0.0035,0.8204,0,,,,,
231.020233,0.000041,0.0037,0.8825,0,,,,,
232.020462,0.000037,0.0034,0.8117,0,,,,,
233.019516,0.000041,0.0037,0.8812,0,,,,,
234.019730,0.000038,0.0035,0.8184,0,,,,,
235.019958,0.000041,0.0037,0.8818,0,,,,,
236.020157,0.000038,0.0035,0.8260,0,,,,,
237.020386,0.000039,0.0036,0.8479,0,,,,,
238.019440,0.000039,0.0036,0.8458,0,,,,,
239.019669,0.000039,0.0036,0.8538,0,,,,,
240.019867,0.000040,0.0037,0.8656,0,,,,,
241.020096,0.000039,0.0036,0.8456,0,,,,,
242.020309,0.000040,0.0037,0.8677,0,,,,,
243.020523,0.000038,0.0035,0.8220,0,,,,,
244.019577,0.000041,0.0038,0.8896,0,,,,,
245.019791,0.000038,0.0035,0.8268,0,,,,,
246.020020,0.000041,0.0037,0.8842,0,,,,,
247.020218,0.000037,0.0034,0.8125,0,,,,,
248.020447,0.000041,0.0038,0.8895,0,,,,,
249.019501,0.000037,0.0034,0.8133,0,,,,,
250.019730,0.000040,0.0037,0.8753,0,,,,,
251.019943,0.000038,0.0034,0.8148,0,,,,,
252.020157,0.000041,0.0037,0.8832,0,,,,,
253.020370,0.000037,0.0034,0.8097,0,,,,,
254.019424,0.000041,0.0037,0.8840,0,,,,,
255.019653,0.000038,0.0034,0.8157,0,,,,,
256.019867,0.000040,0.0037,0.8763,0,,,,,
257.020081,0.000039,0.0036,0.8474,0,,,,,
258.020294,0.000040,0.0036,0.8624,0,,,,,
259.020508,0.000039,0.0036,0.8534,0,,,,,
260.019562,0.000038,0.0035,0.8338,0,,,,,
261.019806,0.000039,0.0036,0.8508,0,,,,,
262.019989,0.000040,0.0036,0.8581,0,,,,,
263.020233,0.000041,0.0037,0.8803,0,,,,,
264.020447,0.000038,0.0035,0.8287,0,,,,,
265.019501,0.000041,0.0037,0.8869,0,,,,,
266.019714,0.000038,0.0035,0.8180,0,,,,,
267.019928,0.000041,0.0038,0.8915,0,,,,,
268.020142,0.000038,0.0034,0.8156,0,,,,,
269.020355,0.000042,0.0038,0.9082,0,,,,,
