t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
120.020370,0.000014,0.0013,0.2974,0,,,,,
121.019417,0.000014,0.0012,0.2956,0,,,,,
122.019638,0.000013,0.0012,0.2919,0,,,,,
123.019859,0.000013,0.0012,0.2899,0,,,,,
124.020073,0.000013,0.0012,0.2899,0,,,,,
125.020287,0.000013,0.0012,0.2832,0,,,,,
126.020515,0.000013,0.0012,0.2851,0,,,,,
127.019562,0.000013,0.0012,0.2886,0,,,,,
128.019775,0.000013,0.0012,0.2897,0,,,,,
129.020004,0.000013,0.0012,0.2787,0,,,,,
130.020203,0.000013,0.0012,0.2828,0,,,,,
131.020432,0.000014,0.0012,0.2944,0,,,,,
132.019485,0.000013,0.0012,0.2902,0,,,,,
133.019699,0.000014,0.0012,0.2956,0,,,,,
134.019913,0.000013,0.0012,0.2873,0,,,,,
135.020142,0.000013,0.0012,0.2892,0,,,,,
136.020355,0.000013,0.0012,0.2795,0,,,,,
137.019409,0.000013,0.0012,0.2827,0,,,,,
138.019638,0.000014,0.0012,0.2949,0,,,,,
139.019836,0.000013,0.0012,0.2831,0,,,,,
140.020065,0.000013,0.0012,0.2874,0,,,,,
141.020294,0.000013,0.0012,0.2770,0,,,,,
142.020493,0.000013,0.0012,0.2825,0,,,,,
143.019547,0.000013,0.0012,0.2882,0,,,,,
145.019989,0.000013,0.0012,0.2825,0,,,,,
146.020203,0.000014,0.0012,0.2940,0,,,,,
147.020416,0.000013,0.0012,0.2825,0,,,,,
148.019470,0.000013,0.0012,0.2909,0,,,,,
149.019699,0.000013,0.0012,0.2865,0,,,,,
150.019897,0.000014,0.0013,0.2976,0,,,,,
151.020126,0.000013,0.0012,0.2885,0,,,,,
152.020355,0.000014,0.0012,0.2947,0,,,,,
153.019394,0.000014,0.0013,0.3024,0,,,,,
154.019623,0.000013,0.0012,0.2862,0,,,,,
155.019836,0.000014,0.0013,0.2981,0,,,,,
156.020050,0.000013,0.0012,0.2848,0,,,,,
157.020279,0.000014,0.0013,0.3009,0,,,,,
158.020477,0.000014,0.0013,0.2970,0,,,,,
159.019531,0.000014,0.0013,0.2973,0,,,,,
160.019760,0.000013,0.0012,0.2897,0,,,,,
161.019974,0.000013,0.0012,0.2847,0,,,,,
162.020187,0.000014,0.0012,0.2942,0,,,,,
163.020416,0.000013,0.0012,0.2811,0,,,,,
164.019470,0.018507,1.6979,401.9859,0,,,,,
165.019684,0.036341,3.3341,789.3455,0,,,,,
166.019882,0.036196,3.3208,786.2059,0,,,,,
167.020111,0.036656,3.3630,796.1891,0,,,,,
168.020340,0.035943,3.2976,780.7060,0,,,,,
169.019394,0.036876,3.3833,800.9846,0,,,,,
170.019608,0.035900,3.2936,779.7700,0,,,,,
171.019821,0.036885,3.3840,801.1697,0,,,,,
172.020035,0.035919,3.2954,780.1811,0,,,,,
173.020248,0.036859,3.3817,800.6072,1,164.019470,790.2935,1,-1,1
174.019485,0.035918,3.2954,780.1752,0,,,,,
175.019699,0.036861,3.3818,800.6381,0,,,,,
176.019913,0.035971,3.3001,781.3074,0,,,,,
177.020142,0.036854,3.3812,800.4979,0,,,,,
178.020355,0.035948,3.2981,780.8145,0,,,,,
179.019409,0.036869,3.3826,800.8257,0,,,,,
180.019638,0.035994,3.3022,781.8064,0,,,,,
