t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
3.020647,0.000014,0.0013,0.2991,0,,,,,
4.019704,0.000014,0.0013,0.2989,0,,,,,
5.019920,0.000014,0.0013,0.3069,0,,,,,
6.020136,0.000014,0.0013,0.2962,0,,,,,
7.020356,0.000014,0.0013,0.2972,0,,,,,
8.020572,0.000013,0.0012,0.2881,0,,,,,
9.019629,0.000013,0.0012,0.2792,0,,,,,
10.019845,0.000014,0.0013,0.3011,0,,,,,
11.020061,0.000014,0.0013,0.3122,0,,,,,
12.020280,0.000013,0.0012,0.2898,0,,,,,
13.020497,0.000013,0.0012,0.2850,0,,,,,
14.019550,0.000014,0.0013,0.3011,0,,,,,
15.019770,0.000014,0.0012,0.2934,0,,,,,
16.019985,0.000014,0.0013,0.3010,0,,,,,
17.020203,0.000014,0.0012,0.2934,0,,,,,
18.020422,0.000014,0.0013,0.3034,0,,,,,
19.020638,0.000013,0.0012,0.2787,0,,,,,
20.019691,0.000014,0.0012,0.2948,0,,,,,
21.019913,0.000014,0.0013,0.2977,0,,,,,
22.020128,0.000014,0.0013,0.3019,0,,,,,
23.020344,0.000013,0.0012,0.2862,0,,,,,
24.020563,0.000014,0.0012,0.2938,0,,,,,
25.019615,0.000014,0.0013,0.2990,0,,,,,
26.019833,0.000014,0.0013,0.3044,0,,,,,
27.020052,0.000014,0.0013,0.2996,0,,,,,
28.020267,0.000013,0.0012,0.2926,0,,,,,
29.020485,0.000014,0.0013,0.3024,0,,,,,
30.019541,0.000013,0.0012,0.2838,0,,,,,
31.019756,0.000014,0.0012,0.2953,0,,,,,
32.019974,0.000013,0.0012,0.2834,0,,,,,
33.020191,0.000013,0.0012,0.2905,0,,,,,
34.020409,0.000014,0.0013,0.2969,0,,,,,
35.020630,0.000014,0.0013,0.2962,0,,,,,
36.019680,0.000014,0.0012,0.2955,0,,,,,
37.019897,0.000014,0.0013,0.2987,0,,,,,
38.020119,0.000013,0.0012,0.2862,0,,,,,
