point,turns,load,sample_index,vrms_v,included_in_mean,note
10turn_initial,10,soldering_iron,16,0.028677,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,17,0.028615,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,18,0.028599,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,19,0.028580,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,20,0.028520,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,21,0.028503,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,22,0.028769,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,23,0.028898,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,24,0.028932,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,25,0.028926,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,26,0.028914,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,27,0.028853,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,28,0.028776,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,29,0.028743,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,30,0.028796,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,31,0.028836,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,32,0.028902,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,33,0.028941,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,34,0.028942,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,35,0.028922,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,36,0.028928,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,37,0.028891,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,38,0.028855,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,39,0.028819,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,40,0.028820,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,41,0.028839,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,42,0.028868,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,43,0.028888,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,44,0.028877,True,first clean 10-turn plateau; used for turn-count verification
10turn_initial,10,soldering_iron,45,0.028884,True,first clean 10-turn plateau; used for turn-count verification
1turn_confirmed,1,soldering_iron,1,0.002882,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,2,0.002889,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,3,0.002879,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,4,0.002886,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,5,0.002889,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,6,0.002894,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,7,0.002895,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,8,0.002892,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,9,0.002881,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,10,0.002874,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,11,0.002876,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,12,0.002888,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,13,0.002896,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,14,0.002903,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,15,0.002889,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,16,0.002879,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,17,0.002870,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,18,0.002892,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,19,0.002898,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,20,0.002900,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,21,0.002881,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,22,0.002867,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,23,0.002895,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,24,0.002904,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,25,0.002870,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,26,0.002884,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,27,0.002903,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,28,0.002898,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,29,0.002885,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,30,0.002875,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,31,0.002880,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,32,0.002892,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,33,0.002896,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,34,0.002898,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,35,0.002891,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,36,0.002884,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,37,0.002877,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,38,0.002879,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,39,0.002901,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,40,0.002903,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,41,0.002892,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,42,0.002877,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,43,0.002879,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,44,0.002896,True,socket reseated; used for turn-count verification
1turn_confirmed,1,soldering_iron,45,0.002901,True,socket reseated; used for turn-count verification
10turn_disturbed_1,10,soldering_iron,1,0.029742,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,2,0.029160,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,3,0.028237,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,4,0.027325,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,5,0.026626,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,6,0.026431,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,7,0.026692,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,8,0.027260,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,9,0.028169,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,10,0.029017,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,11,0.029680,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,12,0.029987,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,13,0.030065,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,14,0.029982,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,15,0.029822,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,16,0.029561,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,17,0.029224,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,18,0.028805,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,19,0.028290,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,20,0.027733,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,21,0.027146,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,22,0.026705,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,23,0.026438,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,24,0.026520,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,25,0.026929,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,26,0.027651,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,27,0.028582,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,28,0.029353,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,29,0.029746,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,30,0.029988,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,31,0.030064,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,32,0.030060,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,33,0.030014,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,34,0.029934,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,35,0.029822,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,36,0.029705,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,37,0.029537,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,38,0.029280,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,39,0.029012,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,40,0.028581,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,41,0.028048,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,42,0.027541,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,43,0.027073,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,44,0.026650,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_1,10,soldering_iron,45,0.026438,False,"burden resistor was being probed/moved; oscillating, discarded"
10turn_disturbed_2,10,soldering_iron,1,0.028162,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,2,0.026755,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,3,0.027061,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,4,0.028975,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,5,0.030109,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,6,0.029862,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,7,0.028653,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,8,0.027129,False,still oscillating despite resistor left untouched; discarded
