t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
118.020386,0.000016,0.0015,0.3457,0,,,,,
119.020210,0.000016,0.0015,0.3468,0,,,,,
120.020050,0.000016,0.0014,0.3417,0,,,,,
121.019882,0.000016,0.0014,0.3425,0,,,,,
122.019714,0.000016,0.0014,0.3428,0,,,,,
123.019547,0.000015,0.0014,0.3318,0,,,,,
124.020546,0.000016,0.0015,0.3452,0,,,,,
125.020386,0.000016,0.0015,0.3439,0,,,,,
126.020210,0.000015,0.0014,0.3366,0,,,,,
127.020050,0.000015,0.0014,0.3243,0,,,,,
128.019882,0.000016,0.0015,0.3438,0,,,,,
129.019714,0.000016,0.0014,0.3396,0,,,,,
130.019547,0.000016,0.0014,0.3382,0,,,,,
131.020554,0.000016,0.0015,0.3566,0,,,,,
132.020386,0.000015,0.0014,0.3325,0,,,,,
133.020203,0.000016,0.0015,0.3457,0,,,,,
134.020035,0.000016,0.0014,0.3386,0,,,,,
135.019867,0.000016,0.0015,0.3438,0,,,,,
136.019714,0.000016,0.0015,0.3453,0,,,,,
137.019547,0.000016,0.0015,0.3531,0,,,,,
138.020538,0.000017,0.0016,0.3676,0,,,,,
139.020386,0.000016,0.0015,0.3434,0,,,,,
140.020203,0.000016,0.0015,0.3503,0,,,,,
141.020050,0.000016,0.0015,0.3454,0,,,,,
142.019867,0.000016,0.0015,0.3526,0,,,,,
143.019714,0.000016,0.0015,0.3488,0,,,,,
144.019547,0.000017,0.0015,0.3658,0,,,,,
145.020538,0.000016,0.0014,0.3409,0,,,,,
146.020386,0.000016,0.0014,0.3406,0,,,,,
147.020203,0.000016,0.0015,0.3508,0,,,,,
148.020050,0.000016,0.0015,0.3531,0,,,,,
149.019867,0.000017,0.0015,0.3629,0,,,,,
150.019714,0.000017,0.0015,0.3611,0,,,,,
151.019547,0.000016,0.0015,0.3447,0,,,,,
152.020538,0.000018,0.0016,0.3808,0,,,,,
153.020386,0.000016,0.0015,0.3517,0,,,,,
154.020203,0.000016,0.0014,0.3378,0,,,,,
155.020050,0.000016,0.0015,0.3446,0,,,,,
156.019867,0.000016,0.0014,0.3432,0,,,,,
157.019714,0.000016,0.0015,0.3438,0,,,,,
158.019547,0.000016,0.0014,0.3420,0,,,,,
159.020538,0.000016,0.0015,0.3503,0,,,,,
160.020386,0.000016,0.0015,0.3526,0,,,,,
161.020203,0.000016,0.0015,0.3533,0,,,,,
162.020050,0.000016,0.0015,0.3462,0,,,,,
163.019867,0.000016,0.0014,0.3394,0,,,,,
