t_s,vrms,irms,power,event,event_t_s,delta_va,direction
1.019683,0.002784,0.2554,60.4680,0,,,
2.019564,0.002245,0.2060,48.7732,0,,,
3.020499,0.002131,0.1956,46.2971,0,,,
4.020269,0.002108,0.1934,45.7872,0,,,
5.020045,0.002106,0.1932,45.7434,0,,,
6.019824,0.002101,0.1928,45.6390,0,,,
7.019600,0.002106,0.1932,45.7490,0,,,
8.020534,0.002106,0.1932,45.7348,0,,,
9.020269,0.002101,0.1928,45.6460,0,,,
10.020022,0.002110,0.1936,45.8283,0,,,
11.019781,0.002102,0.1929,45.6641,0,,,
12.019522,0.002105,0.1931,45.7186,0,,,
13.020414,0.002109,0.1935,45.8190,0,,,
14.020150,0.002101,0.1928,45.6417,0,,,
15.019904,0.002109,0.1935,45.8144,0,,,
16.019640,0.002106,0.1932,45.7455,0,,,
17.020544,0.002101,0.1928,45.6346,0,,,
18.020267,0.002113,0.1938,45.8939,0,,,
19.020008,0.002101,0.1928,45.6457,0,,,
20.019753,0.002100,0.1927,45.6237,0,,,
21.019512,0.002106,0.1932,45.7469,0,,,
22.020424,0.002103,0.1929,45.6686,0,,,
23.020172,0.002102,0.1928,45.6541,0,,,
24.019934,0.002104,0.1931,45.7054,0,,,
25.019695,0.002099,0.1926,45.6005,0,,,
26.020617,0.002105,0.1931,45.7236,0,,,
27.020370,0.002102,0.1929,45.6657,0,,,
28.020121,0.002102,0.1928,45.6549,0,,,
29.019869,0.002105,0.1931,45.7124,0,,,
30.019640,0.002106,0.1933,45.7533,0,,,
31.020580,0.002100,0.1927,45.6193,0,,,
32.020348,0.002112,0.1938,45.8710,0,,,
33.020130,0.002102,0.1928,45.6531,0,,,
34.019905,0.002106,0.1932,45.7467,0,,,
35.019665,0.002107,0.1933,45.7557,0,,,
36.020576,0.002098,0.1925,45.5642,0,,,
37.020313,0.002105,0.1932,45.7328,0,,,
38.020077,0.002096,0.1923,45.5334,0,,,
39.019840,0.002108,0.1934,45.7782,0,,,
40.019577,0.002108,0.1934,45.7952,0,,,
41.020454,0.002104,0.1930,45.7020,0,,,
42.020187,0.002104,0.1930,45.6952,0,,,
43.019928,0.002117,0.1942,45.9729,0,,,
44.019661,0.002093,0.1920,45.4557,0,,,
45.020576,0.002099,0.1926,45.5884,0,,,
46.020290,0.002118,0.1943,45.9980,0,,,
47.020058,0.002100,0.1927,45.6110,0,,,
48.019817,0.002091,0.1918,45.4119,0,,,
49.019577,0.002112,0.1938,45.8740,0,,,
50.020489,0.002122,0.1947,46.0881,0,,,
51.020241,0.002092,0.1919,45.4319,0,,,
52.020000,0.002095,0.1922,45.5116,0,,,
53.019760,0.002120,0.1945,46.0535,0,,,
54.019512,0.002113,0.1939,45.9002,0,,,
55.020424,0.002091,0.1918,45.4201,0,,,
56.020172,0.002107,0.1933,45.7568,0,,,
57.019936,0.002128,0.1952,46.2163,0,,,
58.019695,0.002101,0.1928,45.6364,0,,,
59.019478,0.002095,0.1922,45.5088,0,,,
60.020416,0.002111,0.1937,45.8562,0,,,
61.020184,0.002123,0.1948,46.1182,0,,,
62.019958,0.002095,0.1922,45.5063,0,,,
63.019730,0.002098,0.1925,45.5680,0,,,
64.019493,0.002117,0.1943,45.9924,0,,,
65.020439,0.002109,0.1935,45.8066,0,,,
66.020210,0.002093,0.1920,45.4604,0,,,
67.019966,0.002109,0.1935,45.8050,0,,,
68.019730,0.002123,0.1948,46.1074,0,,,
69.019478,0.002094,0.1921,45.4788,0,,,
70.020393,0.002100,0.1927,45.6166,0,,,
71.020149,0.002122,0.1947,46.0840,0,,,
72.019913,0.002108,0.1934,45.7898,0,,,
73.019646,0.002097,0.1924,45.5412,0,,,
74.020561,0.002117,0.1942,45.9749,0,,,
75.020279,0.002116,0.1942,45.9700,0,,,
76.020027,0.002099,0.1926,45.5877,0,,,
77.019760,0.002113,0.1939,45.9065,0,,,
78.019493,0.002125,0.1950,46.1667,0,,,
79.020393,0.002093,0.1920,45.4630,0,,,
80.020149,0.002097,0.1924,45.5588,0,,,
81.019913,0.002122,0.1947,46.0918,0,,,
82.019669,0.002131,0.1955,46.2862,0,,,
83.020584,0.002096,0.1923,45.5271,0,,,
84.020332,0.002091,0.1919,45.4230,0,,,
85.020088,0.002115,0.1940,45.9411,0,,,
86.019852,0.002137,0.1961,46.4194,0,,,
87.019600,0.002109,0.1935,45.8004,0,,,
88.020523,0.002087,0.1915,45.3356,0,,,
89.020271,0.002102,0.1929,45.6668,0,,,
90.020027,0.002129,0.1954,46.2527,0,,,
91.019783,0.002118,0.1943,46.0075,0,,,
92.019539,0.002092,0.1919,45.4347,0,,,
93.020439,0.002104,0.1931,45.7053,0,,,
94.020187,0.002127,0.1952,46.2085,0,,,
95.019936,0.002102,0.1928,45.6571,0,,,
96.019722,0.002099,0.1926,45.5919,0,,,
97.019485,0.002115,0.1941,45.9452,0,,,
98.020416,0.002114,0.1940,45.9230,0,,,
99.020187,0.002099,0.1925,45.5828,0,,,
100.019943,0.002107,0.1933,45.7696,0,,,
101.019722,0.002117,0.1942,45.9755,0,,,
102.019478,0.002097,0.1924,45.5570,0,,,
103.020393,0.002104,0.1930,45.6991,0,,,
104.020157,0.002114,0.1940,45.9279,0,,,
105.019928,0.002099,0.1926,45.5917,0,,,
106.019676,0.002103,0.1930,45.6848,0,,,
107.020592,0.002112,0.1938,45.8825,0,,,
108.020325,0.002095,0.1922,45.4980,0,,,
109.020065,0.002102,0.1929,45.6643,0,,,
110.019806,0.002111,0.1937,45.8500,0,,,
111.019554,0.002095,0.1922,45.5042,0,,,
112.020462,0.002105,0.1931,45.7168,0,,,
113.020218,0.002112,0.1937,45.8646,0,,,
114.019966,0.002093,0.1920,45.4595,0,,,
115.019722,0.002102,0.1929,45.6594,0,,,
116.019478,0.002115,0.1941,45.9433,0,,,
117.020416,0.002095,0.1922,45.5021,0,,,
118.020180,0.002099,0.1926,45.5927,0,,,
119.019928,0.002121,0.1946,46.0606,0,,,
120.019676,0.002106,0.1932,45.7430,0,,,
121.020615,0.002098,0.1925,45.5646,0,,,
122.020393,0.002114,0.1940,45.9200,0,,,
123.020164,0.002114,0.1940,45.9283,0,,,
124.019943,0.002098,0.1925,45.5677,0,,,
125.019722,0.002107,0.1933,45.7625,0,,,
126.019485,0.002122,0.1947,46.0963,0,,,
127.020416,0.002102,0.1928,45.6564,0,,,
128.020187,0.002103,0.1930,45.6847,0,,,
129.019958,0.002118,0.1943,45.9938,0,,,
130.019730,0.002104,0.1930,45.7015,0,,,
131.019501,0.002101,0.1927,45.6292,0,,,
132.020416,0.002116,0.1942,45.9667,0,,,
133.020172,0.002108,0.1934,45.7906,0,,,
134.019943,0.002099,0.1926,45.5873,0,,,
135.019699,0.002115,0.1940,45.9359,0,,,
136.020615,0.002104,0.1931,45.7103,0,,,
137.020370,0.002103,0.1929,45.6765,0,,,
138.020126,0.002115,0.1940,45.9338,0,,,
139.019882,0.002107,0.1933,45.7741,0,,,
140.019638,0.002107,0.1933,45.7628,0,,,
141.020523,0.002120,0.1945,46.0385,0,,,
142.020279,0.002109,0.1935,45.8049,0,,,
143.020020,0.002108,0.1934,45.7938,0,,,
144.019745,0.002121,0.1946,46.0747,0,,,
145.019485,0.002105,0.1931,45.7226,0,,,
146.020386,0.002109,0.1935,45.8170,0,,,
147.020111,0.002121,0.1945,46.0596,0,,,
148.019852,0.002106,0.1932,45.7343,0,,,
149.019608,0.002108,0.1934,45.7868,0,,,
150.020493,0.002108,0.1934,45.7982,0,,,
151.020248,0.002105,0.1932,45.7329,0,,,
152.020004,0.002105,0.1932,45.7287,0,,,
153.019760,0.002117,0.1942,45.9747,0,,,
154.019531,0.002117,0.1942,45.9843,0,,,
155.020447,0.002118,0.1943,46.0089,0,,,
156.020218,0.002114,0.1939,45.9154,0,,,
157.020004,0.002105,0.1931,45.7190,0,,,
158.019760,0.031009,2.8450,673.5464,0,,,
159.019516,0.038888,3.5678,844.6653,0,,,
160.020447,0.038950,3.5735,846.0148,1,158.019760,742.1944,1
161.019775,0.038964,3.5748,846.3336,0,,,
162.019516,0.038903,3.5691,844.9911,0,,,
163.020416,0.039054,3.5830,848.2732,1,161.019775,58.4572,1
164.019730,0.038875,3.5666,844.3987,0,,,
165.019470,0.039175,3.5941,850.9014,0,,,
166.020370,0.038854,3.5646,843.9288,0,,,
167.020111,0.038737,3.5539,841.3864,0,,,
168.019836,0.039197,3.5961,851.3808,0,,,
169.019577,0.039075,3.5850,848.7473,0,,,
170.020477,0.038607,3.5420,838.5655,0,,,
171.020203,0.038938,3.5723,845.7534,0,,,
172.019974,0.039307,3.6063,853.7806,0,,,
173.019730,0.038895,3.5685,844.8345,0,,,
174.019485,0.038557,3.5375,837.4946,0,,,
175.020401,0.038933,3.5719,845.6475,0,,,
176.020157,0.039247,3.6007,852.4674,0,,,
177.019913,0.038749,3.5551,841.6595,0,,,
178.019699,0.038616,3.5428,838.7618,0,,,
179.020630,0.039049,3.5826,848.1705,0,,,
180.020370,0.038960,3.5744,846.2355,0,,,
181.020126,0.038655,3.5464,839.6185,0,,,
182.019882,0.038907,3.5695,845.0873,0,,,
183.019638,0.038933,3.5719,845.6450,0,,,
184.020554,0.038681,3.5488,840.1689,0,,,
185.020325,0.038821,3.5617,843.2306,0,,,
186.020081,0.038819,3.5615,843.1790,0,,,
187.019836,0.038631,3.5443,839.1025,0,,,
188.019608,0.038863,3.5655,844.1263,0,,,
189.020523,0.038727,3.5531,841.1884,0,,,
190.020279,0.038628,3.5440,839.0349,0,,,
191.020035,0.038862,3.5654,844.1054,0,,,
192.019791,0.038745,3.5547,841.5636,0,,,
193.019547,0.038682,3.5489,840.1910,0,,,
194.020462,0.038857,3.5649,844.0006,0,,,
195.020218,0.038636,3.5446,839.1936,0,,,
196.019974,0.038585,3.5400,838.0966,0,,,
197.019730,0.038992,3.5774,846.9448,0,,,
198.019485,0.038670,3.5478,839.9412,0,,,
199.020386,0.038590,3.5405,838.2111,0,,,
200.020142,0.038850,3.5643,843.8492,0,,,
201.019897,0.038639,3.5450,839.2711,0,,,
202.019669,0.038522,3.5343,836.7353,0,,,
203.020599,0.038830,3.5625,843.4109,0,,,
204.020355,0.038647,3.5457,839.4409,0,,,
205.020111,0.038509,3.5331,836.4518,0,,,
206.019852,0.038817,3.5613,843.1401,0,,,
207.019623,0.038633,3.5444,839.1321,0,,,
208.020538,0.038507,3.5328,836.4009,0,,,
209.020294,0.038615,3.5428,838.7515,0,,,
210.020050,0.038540,3.5359,837.1207,0,,,
211.019806,0.038519,3.5339,836.6537,0,,,
212.019577,0.038659,3.5467,839.6911,0,,,
213.020462,0.038520,3.5340,836.6761,0,,,
214.020218,0.038558,3.5375,837.5026,0,,,
215.019974,0.038594,3.5408,838.2829,0,,,
216.019714,0.038500,3.5322,836.2482,0,,,
217.020615,0.038539,3.5358,837.0943,0,,,
218.020355,0.038527,3.5347,836.8356,0,,,
219.020096,0.038476,3.5300,835.7357,0,,,
220.019836,0.038510,3.5331,836.4719,0,,,
221.019577,0.038491,3.5314,836.0577,0,,,
222.020462,0.038453,3.5279,835.2291,0,,,
223.020203,0.038501,3.5323,836.2624,0,,,
224.019958,0.038468,3.5293,835.5519,0,,,
225.019714,0.038487,3.5310,835.9622,0,,,
226.020615,0.038495,3.5317,836.1412,0,,,
227.020355,0.038475,3.5299,835.7064,0,,,
228.020096,0.038459,3.5284,835.3486,0,,,
229.019836,0.038398,3.5228,834.0347,0,,,
230.019577,0.038456,3.5282,835.2925,0,,,
231.020493,0.038449,3.5275,835.1314,0,,,
232.020218,0.038384,3.5216,833.7369,0,,,
233.019943,0.038413,3.5243,834.3674,0,,,
234.019714,0.038350,3.5184,832.9835,0,,,
235.020630,0.038423,3.5252,834.5854,0,,,
236.020370,0.038363,3.5197,833.2781,0,,,
237.020126,0.038416,3.5245,834.4181,0,,,
238.019882,0.038392,3.5223,833.9059,0,,,
239.019653,0.038343,3.5178,832.8375,0,,,
240.020554,0.038396,3.5227,833.9965,0,,,
241.020309,0.038231,3.5075,830.4033,0,,,
242.020065,0.038421,3.5250,834.5330,0,,,
243.019836,0.038216,3.5062,830.0836,0,,,
244.019608,0.038418,3.5247,834.4661,0,,,
245.020523,0.038246,3.5089,830.7408,0,,,
246.020279,0.036636,3.3611,795.7510,0,,,
247.020035,0.002107,0.1933,45.7600,0,,,
248.019806,0.002117,0.1942,45.9730,1,246.020279,535.9351,-1
249.020325,0.002101,0.1928,45.6421,0,,,
250.020111,0.002113,0.1938,45.8881,0,,,
251.019867,0.002109,0.1935,45.8072,1,249.020325,250.0488,-1
252.020386,0.002095,0.1922,45.4996,0,,,
253.020157,0.002113,0.1938,45.8905,0,,,
254.019913,0.002094,0.1921,45.4847,0,,,
255.019684,0.002110,0.1936,45.8258,0,,,
256.020599,0.002089,0.1917,45.3736,0,,,
257.020355,0.002111,0.1937,45.8512,0,,,
258.020142,0.002096,0.1923,45.5200,0,,,
259.019867,0.002110,0.1936,45.8385,0,,,
260.019592,0.002094,0.1921,45.4810,0,,,
261.020508,0.002110,0.1936,45.8271,0,,,
262.020233,0.002097,0.1924,45.5443,0,,,
263.019989,0.002110,0.1935,45.8210,0,,,
264.019714,0.002098,0.1925,45.5663,0,,,
265.019470,0.002110,0.1936,45.8298,0,,,
266.020355,0.002094,0.1921,45.4864,0,,,
267.020111,0.002111,0.1937,45.8537,0,,,
268.019836,0.002107,0.1933,45.7696,0,,,
269.019592,0.002106,0.1933,45.7533,0,,,
270.020477,0.002107,0.1933,45.7589,0,,,
271.020233,0.002108,0.1934,45.7916,0,,,
272.019928,0.002105,0.1931,45.7244,0,,,
273.019714,0.002104,0.1930,45.6915,0,,,
274.020599,0.002107,0.1933,45.7625,0,,,
275.020386,0.002108,0.1934,45.7969,0,,,
276.020111,0.002104,0.1931,45.7049,0,,,
277.019867,0.002107,0.1933,45.7654,0,,,
278.019623,0.002103,0.1930,45.6869,0,,,
279.020538,0.002109,0.1935,45.8143,0,,,
280.020264,0.002102,0.1929,45.6626,0,,,
281.020020,0.002107,0.1933,45.7675,0,,,
282.019775,0.002107,0.1933,45.7663,0,,,
283.019531,0.002100,0.1927,45.6227,0,,,
284.020447,0.002120,0.1945,46.0557,0,,,
285.020203,0.002122,0.1947,46.0972,0,,,
286.019928,0.002138,0.1961,46.4338,0,,,
287.019714,0.002125,0.1949,46.1471,0,,,
288.020599,0.002142,0.1966,46.5348,0,,,
289.020386,0.002126,0.1950,46.1730,0,,,
290.020142,0.002143,0.1966,46.5497,0,,,
291.019867,0.002131,0.1956,46.2969,0,,,
292.019653,0.002164,0.1985,46.9939,0,,,
293.020538,0.002122,0.1946,46.0807,0,,,
294.020325,0.002113,0.1938,45.8912,0,,,
295.020050,0.002111,0.1937,45.8486,0,,,
296.019836,0.002108,0.1934,45.7920,0,,,
297.019592,0.002106,0.1932,45.7513,0,,,
298.020538,0.002101,0.1928,45.6446,0,,,
299.020294,0.002107,0.1933,45.7574,0,,,
300.020050,0.002110,0.1936,45.8249,0,,,
301.019836,0.002104,0.1930,45.7021,0,,,
302.019623,0.002099,0.1926,45.6027,0,,,
303.020538,0.002100,0.1927,45.6202,0,,,
304.020325,0.002094,0.1921,45.4914,0,,,
305.020111,0.002095,0.1922,45.5020,0,,,
306.019836,0.002097,0.1924,45.5507,0,,,
307.019623,0.002100,0.1927,45.6135,0,,,
308.020508,0.002106,0.1932,45.7370,0,,,
309.020264,0.002113,0.1939,45.8988,0,,,
310.020020,0.002114,0.1940,45.9256,0,,,
311.019806,0.002115,0.1941,45.9478,0,,,
312.019562,0.002119,0.1944,46.0280,0,,,
313.020477,0.002109,0.1935,45.8063,0,,,
314.020233,0.002097,0.1924,45.5432,0,,,
315.019958,0.002102,0.1929,45.6671,0,,,
316.019714,0.002111,0.1936,45.8434,0,,,
317.019501,0.002114,0.1940,45.9209,0,,,
318.020386,0.002102,0.1929,45.6591,0,,,
319.020111,0.002103,0.1929,45.6736,0,,,
320.019836,0.002110,0.1936,45.8364,0,,,
321.019592,0.002118,0.1943,46.0071,0,,,
322.020477,0.002107,0.1933,45.7743,0,,,
323.020233,0.002104,0.1930,45.7002,0,,,
324.019928,0.002107,0.1933,45.7707,0,,,
325.019684,0.002113,0.1938,45.8893,0,,,
326.020599,0.002113,0.1939,45.9018,0,,,
327.020386,0.002100,0.1927,45.6217,0,,,
328.020142,0.002109,0.1935,45.8037,0,,,
329.019867,0.002112,0.1938,45.8717,0,,,
330.019653,0.002095,0.1922,45.4981,0,,,
331.020569,0.002112,0.1937,45.8649,0,,,
332.020325,0.002117,0.1942,45.9740,0,,,
333.020111,0.002101,0.1928,45.6457,0,,,
334.019867,0.002114,0.1939,45.9102,0,,,
335.019623,0.002119,0.1944,46.0345,0,,,
336.020569,0.002095,0.1922,45.5003,0,,,
337.020325,0.002109,0.1935,45.8016,0,,,
338.020111,0.002117,0.1942,45.9878,0,,,
339.019867,0.002103,0.1929,45.6698,0,,,
340.019653,0.002107,0.1933,45.7561,0,,,
341.020569,0.002114,0.1939,45.9168,0,,,
342.020325,0.002102,0.1928,45.6569,0,,,
343.020050,0.002113,0.1938,45.8866,0,,,
344.019836,0.002115,0.1940,45.9327,0,,,
345.019592,0.002106,0.1932,45.7509,0,,,
346.020447,0.002111,0.1937,45.8494,0,,,
347.020203,0.002112,0.1938,45.8814,0,,,
348.019928,0.002102,0.1928,45.6505,0,,,
349.019684,0.002112,0.1938,45.8717,0,,,
350.020569,0.002106,0.1933,45.7544,0,,,
351.020325,0.002096,0.1923,45.5167,0,,,
352.020111,0.002108,0.1934,45.7767,0,,,
353.019836,0.002097,0.1923,45.5381,0,,,
354.019592,0.002103,0.1929,45.6754,0,,,
355.020508,0.002111,0.1937,45.8475,0,,,
356.020264,0.002092,0.1920,45.4459,0,,,
357.020020,0.002108,0.1934,45.7773,0,,,
358.019775,0.002114,0.1940,45.9277,0,,,
359.019562,0.002103,0.1929,45.6724,0,,,
360.020477,0.002108,0.1934,45.7951,0,,,
361.020264,0.002113,0.1939,45.8956,0,,,
362.020020,0.002103,0.1929,45.6698,0,,,
363.019806,0.002113,0.1938,45.8873,0,,,
364.019562,0.002105,0.1931,45.7120,0,,,
365.020447,0.002101,0.1927,45.6328,0,,,
366.020233,0.002115,0.1940,45.9412,0,,,
367.019958,0.002110,0.1936,45.8304,0,,,
368.019714,0.002114,0.1939,45.9151,0,,,
369.019501,0.002106,0.1932,45.7407,0,,,
370.020386,0.002120,0.1945,46.0480,0,,,
371.020111,0.002109,0.1935,45.8022,0,,,
372.019836,0.002109,0.1935,45.8124,0,,,
373.019592,0.002117,0.1942,45.9725,0,,,
374.020477,0.002115,0.1941,45.9462,0,,,
375.020233,0.002105,0.1931,45.7255,0,,,
376.019928,0.002111,0.1937,45.8556,0,,,
377.019684,0.002107,0.1933,45.7711,0,,,
378.020599,0.002112,0.1938,45.8842,0,,,
379.020355,0.002116,0.1941,45.9581,0,,,
380.020111,0.002113,0.1938,45.8923,0,,,
381.019836,0.002104,0.1930,45.7021,0,,,
382.019592,0.002113,0.1939,45.9028,0,,,
383.020447,0.002117,0.1943,45.9932,0,,,
384.020203,0.002116,0.1941,45.9575,0,,,
385.019928,0.002115,0.1940,45.9412,0,,,
386.019653,0.002115,0.1940,45.9332,0,,,
387.020569,0.002110,0.1936,45.8335,0,,,
388.020294,0.002107,0.1933,45.7551,0,,,
389.020020,0.002110,0.1936,45.8285,0,,,
390.019775,0.002119,0.1944,46.0211,0,,,
391.019531,0.002100,0.1927,45.6231,0,,,
392.020447,0.002115,0.1940,45.9320,0,,,
393.020172,0.002113,0.1939,45.9051,0,,,
394.019897,0.002108,0.1934,45.7806,0,,,
395.019684,0.002115,0.1941,45.9421,0,,,
396.020569,0.002099,0.1926,45.5944,0,,,
397.020325,0.002116,0.1941,45.9576,0,,,
398.020111,0.002118,0.1943,46.0035,0,,,
399.019836,0.002120,0.1945,46.0407,0,,,
400.019592,0.002106,0.1932,45.7344,0,,,
401.020508,0.002112,0.1938,45.8758,0,,,
402.020264,0.002125,0.1950,46.1662,0,,,
403.020020,0.002109,0.1935,45.8059,0,,,
404.019775,0.002124,0.1949,46.1412,0,,,
405.019531,0.002102,0.1928,45.6525,0,,,
406.020447,0.002123,0.1948,46.1157,0,,,
407.020203,0.002112,0.1937,45.8657,0,,,
408.019928,0.002113,0.1938,45.8890,0,,,
409.019714,0.002120,0.1945,46.0399,0,,,
410.019501,0.002117,0.1942,45.9817,0,,,
411.020416,0.002102,0.1928,45.6462,0,,,
412.020203,0.002125,0.1949,46.1510,0,,,
413.019958,0.002101,0.1928,45.6447,0,,,
414.019714,0.002117,0.1942,45.9885,0,,,
415.019501,0.002111,0.1937,45.8546,0,,,
416.020447,0.002101,0.1927,45.6304,0,,,
417.020233,0.002121,0.1946,46.0733,0,,,
418.019989,0.002095,0.1922,45.5127,0,,,
419.019775,0.002114,0.1939,45.9097,0,,,
420.019531,0.002103,0.1929,45.6778,0,,,
421.020447,0.002101,0.1927,45.6320,0,,,
422.020203,0.002112,0.1937,45.8658,0,,,
423.019928,0.002100,0.1927,45.6131,0,,,
424.019714,0.002111,0.1936,45.8459,0,,,
425.019501,0.002113,0.1939,45.8957,0,,,
426.020386,0.002099,0.1926,45.5946,0,,,
427.020172,0.002111,0.1937,45.8555,0,,,
