t_s,vrms,irms,power,event,event_t_s,delta_va,direction
3.020397,0.000009,0.0008,0.1857,0,,,
4.020155,0.000009,0.0008,0.1992,0,,,
5.019895,0.000009,0.0008,0.1934,0,,,
6.019635,0.000009,0.0009,0.2017,0,,,
7.020538,0.000010,0.0009,0.2109,0,,,
8.020274,0.000009,0.0008,0.1953,0,,,
9.020035,0.000010,0.0009,0.2081,0,,,
10.019785,0.000009,0.0008,0.2010,0,,,
11.019538,0.000009,0.0009,0.2021,0,,,
12.020437,0.000009,0.0008,0.1984,0,,,
13.020189,0.000009,0.0008,0.1977,0,,,
14.019969,0.000010,0.0009,0.2067,0,,,
15.019745,0.000009,0.0008,0.1892,0,,,
16.019516,0.000009,0.0009,0.2044,0,,,
17.020418,0.000009,0.0009,0.2040,0,,,
18.020155,0.000009,0.0008,0.2010,0,,,
19.019909,0.000009,0.0008,0.1977,0,,,
20.019667,0.000009,0.0008,0.1979,0,,,
21.020599,0.000009,0.0009,0.2055,0,,,
22.020351,0.000010,0.0009,0.2066,0,,,
23.020102,0.000009,0.0008,0.2011,0,,,
24.019873,0.000009,0.0008,0.1978,0,,,
25.019623,0.000010,0.0009,0.2113,0,,,
26.020538,0.000009,0.0009,0.2020,0,,,
27.020296,0.000009,0.0008,0.1999,0,,,
28.020069,0.000010,0.0009,0.2104,0,,,
29.019829,0.000009,0.0008,0.1920,0,,,
30.019581,0.000009,0.0008,0.1990,0,,,
31.020493,0.000009,0.0008,0.1991,0,,,
32.020252,0.000009,0.0008,0.1985,0,,,
33.020004,0.000010,0.0009,0.2123,0,,,
34.019760,0.000009,0.0008,0.1964,0,,,
35.019535,0.000009,0.0009,0.2035,0,,,
36.020458,0.000010,0.0009,0.2075,0,,,
37.020210,0.000009,0.0009,0.2036,0,,,
38.019966,0.000009,0.0009,0.2054,0,,,
39.019733,0.000009,0.0009,0.2025,0,,,
40.019482,0.000009,0.0009,0.2054,0,,,
41.020397,0.000009,0.0008,0.1991,0,,,
42.020157,0.000010,0.0009,0.2137,0,,,
43.019909,0.000009,0.0009,0.2045,0,,,
44.019665,0.000009,0.0008,0.1976,0,,,
45.020592,0.000009,0.0009,0.2021,0,,,
46.020340,0.000009,0.0008,0.1995,0,,,
47.020088,0.000010,0.0009,0.2232,0,,,
48.019852,0.000009,0.0008,0.1987,0,,,
49.019600,0.000009,0.0009,0.2053,0,,,
50.020535,0.000010,0.0009,0.2115,0,,,
51.020271,0.000009,0.0009,0.2033,0,,,
52.020035,0.000009,0.0008,0.1994,0,,,
53.019783,0.000010,0.0009,0.2089,0,,,
54.019562,0.000009,0.0008,0.1935,0,,,
55.020481,0.000010,0.0009,0.2136,0,,,
56.020233,0.000010,0.0009,0.2068,0,,,
57.019985,0.000010,0.0009,0.2088,0,,,
58.019764,0.000009,0.0009,0.2048,0,,,
59.019535,0.000009,0.0008,0.2010,0,,,
60.020435,0.000010,0.0009,0.2179,0,,,
61.020187,0.000009,0.0008,0.2012,0,,,
62.019947,0.000009,0.0008,0.2000,0,,,
63.019699,0.000009,0.0008,0.2006,0,,,
64.019455,0.000010,0.0009,0.2095,0,,,
65.020378,0.029260,2.6845,635.5493,0,,,
66.020142,0.036525,3.3510,793.3448,0,,,
67.019913,0.036104,3.3124,784.2144,1,65.020378,737.4995,1
68.020416,0.036164,3.3179,785.5192,0,,,
69.020164,0.036395,3.3391,790.5356,0,,,
70.019928,0.036571,3.3553,794.3588,1,68.020416,52.4351,1
71.020409,0.036541,3.3525,793.6948,0,,,
72.020149,0.036185,3.3199,785.9751,0,,,
73.019920,0.036448,3.3439,791.6744,0,,,
74.019676,0.036373,3.3371,790.0551,0,,,
75.020599,0.036095,3.3115,784.0063,0,,,
76.020332,0.036528,3.3513,793.4215,0,,,
77.020073,0.036337,3.3338,789.2752,0,,,
78.019821,0.036033,3.3059,782.6711,0,,,
79.019562,0.036493,3.3481,792.6577,0,,,
80.020447,0.036302,3.3306,788.5126,0,,,
81.020195,0.036094,3.3114,783.9781,0,,,
82.019936,0.036425,3.3418,791.1739,0,,,
83.019676,0.036241,3.3250,787.1846,0,,,
84.020592,0.035999,3.3027,781.9259,0,,,
85.020325,0.036277,3.3283,787.9736,0,,,
86.020081,0.036326,3.3328,789.0346,0,,,
87.019814,0.036010,3.3038,782.1720,0,,,
88.019562,0.036135,3.3152,784.8727,0,,,
89.020447,0.036432,3.3425,791.3373,0,,,
90.020195,0.035995,3.3023,781.8292,0,,,
91.019928,0.036048,3.3072,782.9852,0,,,
92.019676,0.036416,3.3410,790.9766,0,,,
93.020592,0.035944,3.2977,780.7320,0,,,
94.020355,0.036055,3.3079,783.1486,0,,,
95.020111,0.036211,3.3222,786.5212,0,,,
96.019867,0.035903,3.2939,779.8318,0,,,
97.019623,0.036265,3.3271,787.6981,0,,,
98.020546,0.036084,3.3106,783.7811,0,,,
99.020287,0.035899,3.2936,779.7543,0,,,
100.020050,0.036310,3.3313,788.6765,0,,,
101.019814,0.035908,3.2944,779.9491,0,,,
102.019585,0.032136,2.9483,698.0078,0,,,
103.020508,0.005762,0.5286,125.1554,0,,,
104.020271,0.002396,0.2198,52.0426,1,102.019585,491.0580,-1
105.019623,0.000039,0.0036,0.8566,0,,,
106.020515,0.000039,0.0035,0.8379,0,,,
107.020241,0.000038,0.0035,0.8340,1,105.019623,290.8924,-1
108.019569,0.000038,0.0035,0.8255,0,,,
109.020447,0.000038,0.0035,0.8215,0,,,
110.020203,0.000038,0.0035,0.8321,0,,,
111.019936,0.000038,0.0035,0.8315,0,,,
112.019699,0.000039,0.0036,0.8479,0,,,
113.019455,0.000038,0.0035,0.8273,0,,,
114.020378,0.000038,0.0035,0.8276,0,,,
115.020134,0.000039,0.0035,0.8382,0,,,
116.019897,0.000038,0.0035,0.8249,0,,,
117.019638,0.000039,0.0036,0.8490,0,,,
118.020561,0.000039,0.0035,0.8404,0,,,
119.020317,0.000038,0.0035,0.8336,0,,,
120.020088,0.000038,0.0035,0.8327,0,,,
121.019867,0.000038,0.0035,0.8212,0,,,
122.019630,0.000037,0.0034,0.8046,0,,,
