t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
3.019501,0.002104,0.1930,45.7028,0,,,,,
4.019717,0.002084,0.1912,45.2612,0,,,,,
5.019937,0.002082,0.1911,45.2311,0,,,,,
6.020153,0.002105,0.1931,45.7239,0,,,,,
7.020369,0.002064,0.1894,44.8321,0,,,,,
8.020589,0.002117,0.1943,45.9936,0,,,,,
9.019642,0.002068,0.1898,44.9246,0,,,,,
10.019858,0.002103,0.1930,45.6853,0,,,,,
11.020078,0.002094,0.1921,45.4843,0,,,,,
12.020294,0.002074,0.1902,45.0393,0,,,,,
13.020510,0.002115,0.1940,45.9364,0,,,,,
14.019567,0.002063,0.1892,44.7999,0,,,,,
15.019783,0.002104,0.1930,45.6897,0,,,,,
16.019999,0.002090,0.1918,45.3999,0,,,,,
17.020220,0.002081,0.1909,45.2015,0,,,,,
18.020435,0.002115,0.1940,45.9412,0,,,,,
19.020653,0.002061,0.1891,44.7669,0,,,,,
20.019709,0.002109,0.1935,45.8105,0,,,,,
21.019924,0.002084,0.1912,45.2561,0,,,,,
22.020140,0.002081,0.1909,45.1963,0,,,,,
23.020361,0.002113,0.1939,45.9046,0,,,,,
24.020576,0.002057,0.1887,44.6817,0,,,,,
25.019632,0.002107,0.1933,45.7579,0,,,,,
26.019848,0.002087,0.1915,45.3381,0,,,,,
27.020063,0.002076,0.1904,45.0860,0,,,,,
28.020285,0.002115,0.1940,45.9332,0,,,,,
29.020500,0.002065,0.1895,44.8555,0,,,,,
30.019554,0.002107,0.1933,45.7706,0,,,,,
31.019773,0.002093,0.1921,45.4690,0,,,,,
32.019989,0.002078,0.1907,45.1459,0,,,,,
33.020206,0.002117,0.1942,45.9726,0,,,,,
34.020424,0.002062,0.1892,44.7940,0,,,,,
35.020641,0.002114,0.1939,45.9087,0,,,,,
36.019695,0.002074,0.1903,45.0470,0,,,,,
37.019917,0.002093,0.1921,45.4714,0,,,,,
38.020130,0.002096,0.1923,45.5351,0,,,,,
39.020348,0.002073,0.1902,45.0363,0,,,,,
40.020569,0.002112,0.1938,45.8717,0,,,,,
41.019619,0.002060,0.1890,44.7402,0,,,,,
42.019836,0.002112,0.1937,45.8654,0,,,,,
43.020058,0.002070,0.1899,44.9566,0,,,,,
44.020271,0.002093,0.1920,45.4650,0,,,,,
45.020489,0.002095,0.1922,45.5115,0,,,,,
46.019543,0.002070,0.1899,44.9615,0,,,,,
47.019760,0.002114,0.1939,45.9098,0,,,,,
48.019978,0.002060,0.1890,44.7397,0,,,,,
49.020195,0.002106,0.1932,45.7333,0,,,,,
50.020412,0.002083,0.1911,45.2482,0,,,,,
51.020634,0.002084,0.1912,45.2613,0,,,,,
52.019688,0.002115,0.1941,45.9446,0,,,,,
53.019905,0.002063,0.1893,44.8112,0,,,,,
54.020119,0.002112,0.1938,45.8806,0,,,,,
55.020336,0.002080,0.1909,45.1857,0,,,,,
56.020554,0.002084,0.1912,45.2695,0,,,,,
57.019611,0.002113,0.1938,45.8866,0,,,,,
58.019829,0.002064,0.1894,44.8374,0,,,,,
59.020042,0.002114,0.1940,45.9214,0,,,,,
60.020264,0.002080,0.1908,45.1744,0,,,,,
61.020481,0.002089,0.1917,45.3821,0,,,,,
62.019531,0.002109,0.1935,45.8178,0,,,,,
63.019753,0.002071,0.1900,44.9881,0,,,,,
