iso_time,t_s,voltage_v,current_a,power_w,energy_kwh,raw_dps
2026-08-27T21:04:34.290,0.0,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:35.313,1.005,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:36.261,2.01,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:37.263,3.015,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:38.282,4.019,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:39.272,5.024,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:40.276,6.026,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:41.346,7.031,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:42.369,8.036,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:43.298,9.04,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:44.289,10.045,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:45.294,11.048,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:04:46.361,12.053,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
